A_COMMENTS,CAPTION,CARDINALITY,CREATION_DATE,HINT,LAST_UPDATE,RELATION,SOURCE_CLASS,SOURCE_CLASS_CAPTION,TARGET_CLASS
The attributes that describe the business data referencing the business object.,Business Data Attributes,N/1,12/15/2021 15:39,The attributes that describe the business data referencing the business object.,11/25/2024 10:57,Attributes,BusinessObject,Business Object,BusinessDataAttribute
The attributes that describe the solution business data.,Attributes,N/1,12/15/2021 15:39,The attributes that describe the solution business data.,6/26/2024 12:59,Attributes,SolutionBusinessData,Solution Business Data,BusinessDataAttribute
The base application that the application is a local variant of.,Is Variant Of,1/N,12/15/2021 15:39,The base application that the application is a local variant of.,6/26/2024 12:59,VariantOf,Application,Application,Application
The base business service that the solution business service is based on.,Base Business Service,1/N,12/15/2021 15:39,The base business service that the solution business service is based on.,6/6/2025 17:04,Base,SolutionBusinessService,Solution Business Service,BusinessService
The base interface system that the solution interface system is based on.,Base Interface System,1/N,12/15/2021 15:39,The base interface system that the solution interface system is based on.,6/26/2024 12:59,Base,InterfaceSystem,Interface System,InterfaceSystem
The base platform element that the solution platform element is based on.,Base Platform Element,1/N,12/15/2021 15:39,The base platform element that the solution platform element is based on.,6/26/2024 12:59,Base,SolutionPlatformElement,Solution Platform Element,PlatformElement
The base platform information flow that the solution platform information flow is based on.,Base Platform Information Flow,1/N,12/15/2021 15:39,The base platform information flow that the solution platform information flow is based on.,6/26/2024 12:59,Base,SolutionPlatformInformationFlow,Solution Platform Information Flow,PlatformInformationFlow
The base technical service that the solution technical service is based on.,Base Technical Service,1/N,12/15/2021 15:39,The base technical service that the solution technical service is based on.,6/26/2024 12:59,Base,SolutionService,Solution Technical Service,Service
The base technical service that the solution technical service operation is based on.,Base,1/N,12/15/2021 15:39,The base technical service that the solution technical service operation is based on.,6/26/2024 12:59,Base,SolutionServiceOperation,Solution Technical Service Operation,ServiceOperation
The base technical service that the solution technical service operation method is based on.,Base,1/N,12/15/2021 15:39,The base technical service that the solution technical service operation method is based on.,6/26/2024 12:59,Base,SolutionServiceMethod,Solution Technical Service Operation Method,ServiceOperationMethod
The bookmark folder that this bookmark belongs to.,Bookmark Folder,1/N,12/15/2021 15:39,The bookmark folder that this bookmark belongs to.,6/26/2024 12:59,BELONGSTO,ALFA_SHORTCUT,Bookmark,ALFA_SHORTCUT_FOLDER
The bookmark folder that this bookmark folder belongs to.,Parent Bookmark Folder,1/N,12/15/2021 15:39,The bookmark folder that this bookmark folder is subordinate to.,6/26/2024 12:59,BELONGSTO,ALFA_SHORTCUT_FOLDER,Bookmark Folder,ALFA_SHORTCUT_FOLDER
The bookmarks associated with the collaboration post.,Collaboration Post Bookmarks,N/N,12/15/2021 15:39,The bookmarks associated with the collaboration post.,6/26/2024 12:59,Bookmarks,CollaborationPost,Collaboration Post,ALFA_SHORTCUT
The bucket that the project cost is being allocated to.,Bucket,1/N,12/15/2021 15:39,The bucket that the project cost is being allocated to.,6/26/2024 12:59,Bucket,ProjectBucketAllocation,Project Bucket Allocation,Bucket
The business capability aspect that the business capability indicator references.,Aspect,1/N,12/15/2021 15:39,The business capability aspect that the business capability indicator references.,6/26/2024 12:59,Aspect,CapabilityIndicator,Capability Indicator,CapabilityAspect
The business capability aspects assigned to the business capability map.,Capability Aspects,N/1,12/15/2021 15:39,The business capability aspects assigned to the business capability map.,6/26/2024 12:59,Aspects,BusinessCapabilityMap,Capability Map,CapabilityAspect
The business capability map for which the business capability aspect was created.,Business Capability Map,1/N,12/15/2021 15:39,The business capability map for which the business capability aspect was created.,6/26/2024 12:59,CapabilityMap,CapabilityAspect,Capability Aspect,BusinessCapabilityMap
The business capability map that the business capability indicator references.,Business Capability Map,1/N,12/15/2021 15:39,The business capability map that the business capability indicator references.,6/26/2024 12:59,Map,CapabilityIndicator,Capability Indicator,BusinessCapabilityMap
The business case defined for the project.,Business Case,1/1,12/15/2021 15:39,The business case defined for the project.,6/26/2024 12:59,BusinessCase,Project,Project,BusinessCase
The business case in which the comment is made.The base object that the comment has been defined for.,Base Object,1/N,12/15/2021 15:39,The business case in which the comment is made. The base object that the comment has been defined for.,6/26/2024 12:59,BaseObject,ContextComment,Context Comment,BusinessCase
The business data associated with the technical service operation method parameter.,Business Data,1/N,12/15/2021 15:39,The business data associated with the technical service operation method parameter.,6/26/2024 12:59,BusinessData,ServiceOperationMethodParameter,Technical Service Operation Method Parameter,BusinessData
The business data attribute associated with the technical service operation method parameter.,Business Data Attribute,1/N,12/15/2021 15:39,The business data attribute associated with the technical service operation method parameter.,6/26/2024 12:59,BusinessDataAttribute,ServiceOperationMethodParameter,Technical Service Operation Method Parameter,BusinessDataAttribute
The business data attribute that is the source of a selected business data attribute.,Source,1/N,12/15/2021 15:39,The business data attribute that is the source of a selected business data attribute.,6/26/2024 12:59,Source,BusinessDataAttribute,Business Data Attribute,BusinessDataAttribute
The business data or business object that the business data attribute is defined for.,Owner,1/N,12/15/2021 15:39,The business data or business object that the business data attribute is defined for.,6/26/2024 12:59,OWNER,BusinessDataAttribute,Business Data Attribute,BusinessData
The business data or business object that the business data attribute is defined for.,Owner,1/N,12/15/2021 15:39,The business data or business object that the business data attribute is defined for.,6/26/2024 12:59,OWNER,BusinessDataAttribute,Business Data Attribute,SolutionBusinessData
The business data or business object that the business data attribute is defined for.,Owner,1/N,12/15/2021 15:39,The business data or business object that the business data attribute is defined for.,11/25/2024 10:57,OWNER,BusinessDataAttribute,Business Data Attribute,BusinessObject
The business data that is transferred by the information flow.,Business Data,N/N,12/15/2021 15:39,The business data that is transferred by the information flow.,6/26/2024 12:59,Data,ProposedInformationFlow,Proposed Information Flow,BusinessData
The business data that is transferred by the information flow.,Business Data,N/N,12/15/2021 15:39,The business data that is transferred by the information flow.,6/26/2024 12:59,Data,InformationFlow,Information Flow,BusinessData
The business data that the solution business data is based on.,Base Business Data,1/N,12/15/2021 15:39,The business data that the solution business data is based on.,6/26/2024 12:59,Base,SolutionBusinessData,Solution Business Data,BusinessData
"The business data, business object, or solution business data that is referenced by the business data usage.",Business Data/Object,1/N,12/15/2021 15:39,The business data that is used in the context of the business data usage.,5/2/2026 20:31,Data,BusinessDataUsage,Data Usage,BusinessData
"The business data, business object, or solution business data that is referenced by the business data usage.",Business Data/Object,1/N,12/15/2021 15:39,The business data that is used in the context of the business data usage.,5/2/2026 20:31,Data,BusinessDataUsage,Data Usage,BusinessObject
"The business data, business object, or solution business data that is referenced by the business data usage.",Business Data/Object,1/N,12/15/2021 15:39,The business data that is used in the context of the business data usage.,5/2/2026 20:31,Data,BusinessDataUsage,Data Usage,SolutionBusinessData
The business documents that are inputs for the business function.,Inputs,N/N,12/15/2021 15:39,The business documents that are inputs for the business function.,6/26/2024 12:59,Inputs,BusinessFunction,Business Function,BusinessDocument
The business documents that are outputs for the business function.,Outputs,N/N,12/15/2021 15:39,The business documents that are outputs for the business function.,6/26/2024 12:59,Deliverables,BusinessFunction,Business Function,BusinessDocument
The business function category of the business function that the business service references.,Business Function Category,1/N,12/15/2021 15:39,The business function category of the business function that the business service references.,6/6/2025 17:04,Category,BusinessService,Application Service,BFCategory
The business function category of the business function that the solution business service references.,Business Function Category,1/N,12/15/2021 15:39,The business function category of the business function that the solution business service references.,6/26/2024 12:59,Category,SolutionBusinessService,Solution Business Service,BFCategory
The business function category that the business function is assigned to.,Business Function Category,1/N,12/15/2021 15:39,The business function category that the business function is assigned to.,6/26/2024 12:59,Category,BusinessFunction,Business Function,BFCategory
The business function operation associated with the business service that the service mapping references.,Business Service Operation,1/N,12/15/2021 15:39,The business function operation associated with the business service that the service mapping references.,6/26/2024 12:59,BusinessOperation,ServiceMapping,Service Mapping,Operation
The business function operations associated with the business services provided by the application/component that the interface system references.,Business Service Operations,N/N,12/15/2021 15:39,The business function operations associated with the business services provided by the application/component that the interface system references.,6/26/2024 12:59,BusinessOperations,InterfaceSystem,Interface System,Operation
The business function operations associated with the selected activity.,Business Service Operations,N/N,12/15/2021 15:39,The business function operations associated with the selected activity.,6/26/2024 12:59,Operations,BFServiceActivity,Service Activity,Operation
The business function operations defined as orchestrations for the business function.,Orchestration,N/N,12/15/2021 15:39,The business function operations defined as orchestrations for the business function.,6/26/2024 12:59,Orchestration,BusinessFunction,Business Function,Operation
The business function operations defined for the business function.,Business Function Operations,N/1,12/15/2021 15:39,The business function operations defined for the business function.,6/26/2024 12:59,Operations,BusinessFunction,Business Function,Operation
The business function operations required to provide the business service.,Business Service Operations,N/N,12/15/2021 15:39,The business function operations required to provide the business service.,6/6/2025 17:04,Operations,BusinessService,Application Service,Operation
